Brand,Model,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineCapacity,FuelConsumptionPer100km,ColourExt,City,State,YearRanges
Ssangyong,Rexton,DEMO,Automatic,AWD,Diesel,5595.0,4,SUV,4,7,51990.0,2.2,8.7,White,Caringbah,NSW,2020-2023
MG,MG3,USED,Automatic,Front,Premium,16.0,4,Hatchback,5,5,19990.0,1.5,6.7,Black,Brookvale,NSW,2020-2023
BMW,430I,USED,Automatic,Rear,Premium,8472.0,4,Coupe,2,4,108988.0,2.0,6.6,Grey,Sylvania,NSW,2020-2023
Renault,Arkana,USED,Automatic,Front,Unleaded,1035.0,4,SUV,4,5,34990.0,1.3,6.0,Grey,Castle Hill,NSW,2020-2023
Toyota,Estima,USED,Automatic,Other,Unleaded,160230.0,4,Commercial,4,7,9990.0,2.4,7.8050222094856,Grey,Saint Marys,NSW,Before 2012
Land,Rover,USED,Automatic,AWD,Diesel,67662.0,4,SUV,2,4,62280.0,2.0,5.1,White,Blacktown,NSW,2017-2019
Nissan,Pulsar,USED,Automatic,Front,Unleaded,300539.0,4,Hatchback,5,5,2995.0,1.6,8.0,Red,Wentworthville,NSW,Before 2012
Toyota,86,USED,Automatic,Rear,Premium,82012.0,4,Coupe,2,4,24888.0,2.0,7.1,Black,Mcgraths Hill,NSW,2012-2016
Honda,Jazz,USED,Automatic,Front,Hybrid,38229.0,4,Hatchback,5,5,17900.0,1.3,4.5,Blue,Lidcombe,NSW,2012-2016
Toyota,HiAce,USED,Automatic,Other,Unleaded,148190.0,4,Commercial,4,2,42500.0,2.842857142857143,9.511267605633805,White,Lidcombe,NSW,Before 2012
Toyota,HiAce,USED,Automatic,Rear,Unleaded,16324.0,4,Commercial,4,2,41999.0,2.7,9.8,White,Lidcombe,NSW,2017-2019
Honda,City,USED,Automatic,Other,Unleaded,181745.0,4,Sedan,4,5,11999.0,1.5,5.975,Black,Rouse Hill,NSW,2012-2016
Toyota,HiAce,USED,Automatic,Other,Diesel,136296.0,4,Commercial,4,2,38999.0,2.842857142857143,9.511267605633805,Silver,Lidcombe,NSW,2017-2019
Toyota,HiAce,USED,Automatic,Rear,Diesel,229829.0,4,Commercial,4,2,27995.0,3.0,8.0,White,Lidcombe,NSW,2012-2016
Volkswagen,Golf,USED,Automatic,Front,Premium,55676.0,4,Hatchback,5,5,14999.0,1.4,6.2,White,Five Dock,NSW,2012-2016
BMW,X3,USED,Automatic,4WD,Diesel,82624.0,4,SUV,4,5,24985.0,2.0,5.6,Black,Haberfield,NSW,2012-2016
Mitsubishi,Outlander,USED,Manual,Other,Unleaded,120020.0,4,Wagon,4,7,13999.0,2.360714285714286,7.189732142857143,Blue,Blacktown,NSW,2012-2016
BMW,118D,USED,Automatic,Rear,Diesel,95204.0,4,Hatchback,5,5,13999.0,2.0,5.4,Silver,Five Dock,NSW,Before 2012
Ford,Fiesta,USED,Automatic,Front,Unleaded,76289.0,3,Hatchback,5,5,12400.0,1.0,5.4,White,Cabramatta,NSW,2012-2016
Mitsubishi,Outlander,USED,Automatic,AWD,Unleaded,219681.0,4,SUV,4,7,13999.0,2.4,7.5,Black,Blacktown,NSW,2012-2016
Ford,Fiesta,USED,Automatic,Front,Unleaded,98079.0,4,Hatchback,5,5,11999.0,1.6,6.1,Blue,Blacktown,NSW,2012-2016
Volkswagen,Amarok,NEW,Automatic,AWD,Diesel,15.0,6,Ute / Tray,4,5,83887.0,3.0,8.4,White,Blacktown,NSW,2020-2023
Honda,Jazz,USED,Automatic,Front,Unleaded,43274.0,4,Hatchback,5,5,19900.0,1.5,5.8,Silver,Castle Hill,NSW,2017-2019
Subaru,Outback,USED,Automatic,AWD,Premium,105672.0,4,SUV,4,5,17990.0,2.5,8.4,Black,Glebe,NSW,2012-2016
Mitsubishi,Mirage,USED,Automatic,Front,Unleaded,36836.0,3,Hatchback,5,5,14995.0,1.2,4.7,Black,Camden,NSW,2017-2019
Toyota,Camry,USED,Automatic,Front,Unleaded,115821.0,4,Sedan,4,5,8499.0,2.4,9.8,Silver,Lansvale,NSW,Before 2012
BMW,3,USED,Automatic,Other,Unleaded,143119.0,4,Coupe,4,5,21999.0,2.393601410934744,7.8050222094856,Black,Rouse Hill,NSW,2012-2016
Hyundai,I45,USED,Automatic,Front,Unleaded,189711.0,4,Sedan,4,5,12990.0,2.4,7.9,Silver,Croydon,NSW,Before 2012
Ford,Territory,USED,Automatic,Rear,Diesel,173786.0,6,SUV,4,7,16999.0,2.7,8.2,Blue,Blacktown,NSW,2012-2016
Nissan,Qashqai,USED,Automatic,Front,Unleaded,114301.0,4,SUV,4,5,21950.0,2.0,6.9,Blue,Pendle Hill,NSW,2017-2019
Volkswagen,Golf,USED,Manual,Front,Premium,69197.0,4,Hatchback,5,5,24880.0,2.0,6.6,Black,Blacktown,NSW,2012-2016
Volkswagen,T-Cross,NEW,Automatic,Front,Premium,15.0,3,Wagon,4,5,35887.0,1.0,5.4,White,Blacktown,NSW,2020-2023
Hyundai,Tucson,USED,Automatic,Front,Unleaded,94377.0,4,SUV,4,5,23888.0,2.0,7.9,Grey,Mcgraths Hill,NSW,2012-2016
Ford,Focus,USED,Automatic,Front,Unleaded,94965.0,4,Hatchback,5,5,16999.0,1.5,6.2,White,Blacktown,NSW,2012-2016
Nissan,X-Trail,USED,Automatic,Front,Unleaded,99294.0,4,SUV,4,7,24490.0,2.5,8.1,Grey,Blacktown,NSW,2017-2019
Toyota,Corolla,USED,Automatic,Front,Hybrid,13694.0,4,Hatchback,5,5,44878.0,1.8,4.2,Black,Blacktown,NSW,2020-2023
Toyota,Yaris,USED,Automatic,Front,Unleaded,264691.0,4,Sedan,4,5,7949.0,1.5,6.7,Silver,Lansvale,NSW,Before 2012
Jeep,Grand,USED,Automatic,Other,Unleaded,224839.0,6,Wagon,4,5,13999.0,3.509090909090909,9.398601398601398,Red,Rouse Hill,NSW,2012-2016
Toyota,Corolla,USED,Manual,Front,Unleaded,238270.0,4,Hatchback,5,5,8800.0,1.8,7.7,Grey,Smithfield,NSW,Before 2012
Toyota,HiAce,USED,Automatic,Rear,Unleaded,76259.0,4,Commercial,4,2,32900.0,2.842857142857143,9.511267605633805,White,Ingleburn,NSW,Before 2012
Jeep,Patriot,USED,Automatic,4WD,Unleaded,140964.0,4,SUV,4,5,13990.0,2.4,9.1,Black,Seven Hills,NSW,2012-2016
Toyota,HiAce,USED,Automatic,Rear,Unleaded,266848.0,4,Commercial,4,3,9999.0,2.4,9.511267605633805,White,Five Dock,NSW,Before 2012
Volvo,S60,USED,Automatic,Front,Premium,141000.0,4,Sedan,4,5,14999.0,1.6,7.4,Blue,Blacktown,NSW,2012-2016
Mitsubishi,Triton,USED,Automatic,4WD,Diesel,240402.0,4,Ute / Tray,4,5,22750.0,2.4,7.6,White,Haberfield,NSW,2012-2016
Mercedes-Benz,E250,USED,Automatic,Rear,Premium,101126.0,4,Coupe,2,4,21950.0,1.8,7.9,Black,Glebe,NSW,Before 2012
Mercedes-Benz,A250,USED,Automatic,Front,Premium,117254.0,4,Hatchback,5,5,19999.0,2.0,6.6,White,Five Dock,NSW,2012-2016
Toyota,86,USED,Manual,Rear,Premium,178747.0,4,Coupe,2,4,19900.0,2.0,7.8,Silver,Granville,NSW,2012-2016
Mazda,CX-5,USED,Automatic,AWD,Unleaded,10579.0,4,SUV,4,5,37990.0,2.5,7.5,Black,Five Dock,NSW,2020-2023
Toyota,Corolla,USED,Automatic,Front,Unleaded,167101.0,4,Hatchback,5,5,12990.0,1.8,7.7,Red,Minchinbury,NSW,Before 2012
Ford,Falcon,USED,Automatic,Rear,Unleaded,163161.0,6,Sedan,4,5,16999.0,4.0,9.9,Blue,Blacktown,NSW,2012-2016
Honda,CR-V,USED,Automatic,4WD,Unleaded,103211.0,4,SUV,4,5,23880.0,2.4,8.7,White,Blacktown,NSW,2012-2016
Toyota,Corolla,USED,Automatic,Front,Unleaded,177751.0,4,Sedan,4,5,10990.0,1.8,7.4,Silver,Minchinbury,NSW,Before 2012
Toyota,HiAce,USED,Automatic,Rear,Unleaded,119614.0,4,People Mover,3,14,44900.0,2.7,10.9,Silver,Ingleburn,NSW,2012-2016
Hyundai,I30,USED,Automatic,Front,Unleaded,125546.0,4,Hatchback,5,5,15880.0,1.8,6.9,Black,Blacktown,NSW,2012-2016
Mazda,6,USED,Automatic,Front,Unleaded,163000.0,4,Sedan,4,5,16995.0,2.5,6.6,Grey,Minchinbury,NSW,2012-2016
Toyota,Kluger,USED,Automatic,Front,Unleaded,132864.0,6,SUV,4,7,19880.0,3.5,11.0,Blue,Blacktown,NSW,Before 2012
Hyundai,Santa,USED,Automatic,AWD,Diesel,71655.0,4,SUV,4,7,43999.0,2.2,7.8,White,Homebush,NSW,2017-2019
BMW,X3,USED,Automatic,4WD,Diesel,109459.0,4,SUV,4,5,18888.0,2.0,5.6,Black,Blacktown,NSW,2012-2016
Mitsubishi,Lancer,USED,Automatic,Front,Unleaded,163012.0,4,Sedan,4,5,9990.0,2.0,8.2,Red,Minchinbury,NSW,Before 2012
Audi,A5,USED,Automatic,AWD,Premium,82119.0,4,Coupe,2,4,27380.0,2.0,6.7,White,Blacktown,NSW,2012-2016
Kia,RIO,USED,Automatic,Front,Unleaded,42071.0,3,Hatchback,5,5,24999.0,1.0,5.4,Red,Homebush,NSW,2017-2019
Jeep,Cherokee,USED,Automatic,4WD,Unleaded,85958.0,6,SUV,4,5,17999.0,3.2,10.0,Red,Elderslie,NSW,2012-2016
Volkswagen,Tiguan,USED,Automatic,AWD,Premium,118642.0,4,SUV,4,5,12990.0,2.0,8.8,Black,Lidcombe,NSW,Before 2012
Mitsubishi,ASX,USED,Automatic,Front,Unleaded,187265.0,4,SUV,4,5,13990.0,2.0,7.9,Blue,Campbelltown,NSW,2012-2016
BMW,220I,USED,Automatic,Rear,Premium,118120.0,4,Convertible,2,4,28990.0,2.0,6.4,Grey,Caringbah,NSW,2012-2016
Hyundai,Tucson,USED,Automatic,Front,Unleaded,19978.0,4,SUV,4,5,36800.0,2.0,8.1,White,Smithfield,NSW,2020-2023
Mazda,3,USED,Automatic,Front,Unleaded,86804.0,4,Sedan,4,5,13999.0,2.0,8.2,Grey,Lansvale,NSW,Before 2012
Volkswagen,Tiguan,NEW,Automatic,AWD,Premium,15.0,4,SUV,4,7,56887.0,2.0,8.9,Black,Blacktown,NSW,2020-2023
Hyundai,Imax,USED,Automatic,Rear,Diesel,183550.0,4,Wagon,4,8,19888.0,2.5,9.0,White,Bankstown,NSW,2012-2016
Toyota,Yaris,USED,Automatic,Front,Unleaded,191748.0,4,Hatchback,5,5,8995.0,1.3,6.3,Green,Bankstown,NSW,2012-2016
Toyota,Kluger,USED,Automatic,Front,Unleaded,139637.0,6,SUV,4,7,31900.0,3.5,10.4,Grey,Five Dock,NSW,2012-2016
